seed,device,cell,sample,image_index,total_ms,preprocess_ms,inference_ms,postprocess_ms,detections
260829,cpu,a,0,0,5580.992251008865,20.39826801046729,5534.135182999307,24.24324199091643,16
260829,cpu,a,1,1,5153.974824992474,11.221797991311178,5124.04151399096,18.219754987512715,1
260829,cpu,a,2,2,5129.017822997412,15.131075997487642,5090.128916010144,23.25358999951277,6
260829,cpu,a,3,3,5139.954161000787,12.188519001938403,5109.045332996175,18.217591001302935,2
260829,cpu,a,4,4,5112.000426001032,15.1408759993501,5078.1480349978665,18.218942001112737,4
260829,cpu,a,5,5,5119.966693004244,11.218639003345743,5089.973006994114,18.27465300448239,2
260829,cpu,a,6,6,5107.967303993064,11.156506996485405,5078.052640004898,18.26955599244684,2
260829,cpu,a,7,7,5913.013872996089,11.188317992491648,5883.116590994177,18.230153000331484,3
260829,cpu,a,8,8,5130.031278007664,11.239775994908996,5093.986409003264,24.3110300070839,7
260829,cpu,a,9,9,5142.9832440044265,11.075176997110248,5107.063584000571,24.318447001860477,16
260829,cpu,a,10,10,5118.976683996152,12.071379998815246,5082.117104000645,24.24772900121752,7
260829,cpu,a,11,11,5130.986114003463,11.189281998667866,5100.9801990003325,18.29781300330069,5
260829,cpu,a,12,12,5131.062953994842,11.120428986032493,5095.189443003619,24.223494008765556,7
260829,cpu,a,13,13,5186.903937996249,11.082746990723535,5157.075477996841,18.189681009971537,2
260829,cpu,a,14,14,5133.00040300237,11.2148260086542,5102.994896995369,18.283369005075656,1
260829,cpu,a,15,15,5163.009894997231,11.11288600077387,5127.1104059997015,24.274732000776567,5
260829,cpu,a,16,0,5473.974341002759,11.174690996995196,5438.03722699522,24.241909006377682,16
260829,cpu,a,17,1,5121.031776012387,15.120350988581777,5087.088262007455,18.318291011382826,1
260829,cpu,a,18,2,5127.938427991467,10.991208997438662,5092.119988010381,24.249122012406588,6
260829,cpu,a,19,3,5131.9448229915,16.11378599773161,5097.055502003059,18.272305009304546,2
260829,cpu,a,20,4,5095.993543000077,11.158272012835369,5066.083327008528,18.259656004374847,4
260829,cpu,a,21,5,5097.008199998527,11.156687993207015,5067.077475003316,18.27954400505405,2
260829,cpu,a,22,6,5101.9811000005575,11.138057001517154,5072.137309995014,18.21347999793943,2
260829,cpu,a,23,7,5108.0285829957575,11.24281699594576,5078.031443001237,18.256547991768457,3
260829,cpu,a,24,8,5117.938527997467,15.072769994731061,5078.0608050117735,24.27596799680032,7
260829,cpu,a,25,9,5134.005425003124,11.166349999257363,5098.05963600229,24.297806987306103,16
260829,cpu,a,26,10,5123.995121000917,11.144791002152488,5088.113665988203,24.243034000392072,7
260829,cpu,a,27,11,5154.009258010774,11.225259004277177,5124.060169007862,18.221279999124818,5
260829,cpu,a,28,12,5139.9531710048905,11.194923004950397,5104.013749005389,24.232655996456742,7
260829,cpu,a,29,13,5156.018276000395,11.254564000410028,5126.033995999023,18.24276200204622,2
