assigner_branch,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,0.8172264151713428,0.848822832107544,0.9775251626968384,0.0,1.2066125869750977,1.0029932260513306,0.008792795240879059,0,000000001000.jpg,17,17
one2one,0.931066244840622,0.931066244840622,0.958761066198349,0.0,0.5082387328147888,1.2499958276748657,0.0033969194628298283,0,000000002261.jpg,2,2
one2one,0.9035876724455092,0.9448440670967102,0.9657262802124024,0.0,0.6748352646827698,1.490261435508728,0.011157916858792305,0,000000002431.jpg,9,9
one2one,0.6783329335351785,0.7353027164936066,0.8591253280639648,0.0,2.009586811065674,1.1449658870697021,0.0063021560199558735,0,000000007281.jpg,12,12
one2one,0.940629631280899,0.940629631280899,0.9760192215442658,0.0,0.4305824041366577,0.17588414251804352,0.004272676073014736,0,000000008532.jpg,2,2
one2one,0.8163687705993652,0.8471646308898926,0.9423197627067565,0.0,1.2693760395050049,1.2776808738708496,0.006792835891246796,0,000000009378.jpg,10,10
one2one,0.951195240020752,0.951195240020752,0.951195240020752,0.0,0.34835535287857056,0.2903863191604614,0.0022336284164339304,0,000000011122.jpg,1,1
one2one,0.7821817517280578,0.7533578276634216,0.9204348206520081,0.0,1.540368676185608,1.3759465217590332,0.010928714647889137,0,000000011511.jpg,10,10
one2one,0.7595611267856189,0.8262965083122253,0.9282648921012878,0.0,1.4776393175125122,1.9464021921157837,0.00892375223338604,0,000000012670.jpg,28,28
one2one,0.8121771247763383,0.863219678401947,0.9326713800430297,0.0,1.275041103363037,2.183939218521118,0.006403384264558554,0,000000013923.jpg,19,19
one2one,0.9175532062848409,0.8968629240989685,0.9630122542381286,0.0,0.6027945280075073,1.475039005279541,0.004313008859753609,0,000000015597.jpg,3,3
one2one,0.7981252551078797,0.8975822329521179,0.916650366783142,0.0,1.278709053993225,2.207165002822876,0.004427326377481222,0,000000016010.jpg,5,5
one2one,0.7452188815389361,0.7226002216339111,0.8829889893531799,0.0,1.763047695159912,2.5001277923583984,0.006274636834859848,0,000000017182.jpg,7,7
one2one,0.8700052301088969,0.9419313073158264,0.9556130051612854,0.0,0.8688949346542358,1.8449428081512451,0.00832649227231741,0,000000017905.jpg,3,3
