assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,0.8172264151713428,0.848822832107544,0.9775251626968384,0.0,1.2066125869750977,1.0029932260513306,0.008792795240879059,0,17,17,2,0.014512131713624848,285,17,000000001000.jpg,9,9,0.8262104948361715,0.8695502877235413,0.9780862927436829,8,6,300,0,0,0.5878312882035971,15
one2one,0.931066244840622,0.931066244840622,0.958761066198349,0.0,0.5082387328147888,1.2499958276748657,0.0033969194628298283,0,2,2,0,0.011284114070638845,44,2,000000002261.jpg,0,0,0.7717839181423187,0.7717839181423187,0.8715149581432342,2,2,46,0,0,0.2962040100246668,2
one2one,0.9035876724455092,0.9448440670967102,0.9657262802124024,0.0,0.6748352646827698,1.490261435508728,0.011157916858792305,0,9,9,1,0.01875181919479988,258,9,000000002431.jpg,4,4,0.9042858630418777,0.9464261531829834,0.9669559478759766,4,4,266,1,0,0.4619710997212678,8
one2one,0.6783329335351785,0.7353027164936066,0.8591253280639648,0.0,2.009586811065674,1.1449658870697021,0.0063021560199558735,0,12,12,2,0.014032997873275437,180,12,000000007281.jpg,2,2,0.7126651406288147,0.7353038787841797,0.8645626902580261,2,2,190,8,6,0.5157230561599135,10
one2one,0.940629631280899,0.940629631280899,0.9760192215442658,0.0,0.4305824041366577,0.17588414251804352,0.004272676073014736,0,2,2,0,0.004964794228977427,29,2,000000008532.jpg,1,1,0.940629631280899,0.940629631280899,0.9760192215442658,1,1,31,0,0,0.9158984422683716,2
one2one,0.8163687705993652,0.8471646308898926,0.9423197627067565,0.0,1.2693760395050049,1.2776808738708496,0.006792835891246796,0,10,10,0,0.01779280866649691,173,10,000000009378.jpg,1,1,0.7333226561546325,0.677230566740036,0.9423197627067565,5,5,183,4,4,0.45003342647105454,10
one2one,0.951195240020752,0.951195240020752,0.951195240020752,0.0,0.34835535287857056,0.2903863191604614,0.0022336284164339304,0,1,1,0,0.006312728308451672,45,1,000000011122.jpg,0,0,0.9511946439743042,0.9511946439743042,0.9511946439743042,1,1,46,0,0,0.9490141868591309,1
one2one,0.7821817517280578,0.7533578276634216,0.9204348206520081,0.0,1.540368676185608,1.3759465217590332,0.010928714647889137,0,10,10,0,0.012012281939699247,209,10,000000011511.jpg,1,1,0.773703646659851,0.7528114914894104,0.9204348504543305,7,7,219,2,2,0.4042929908493534,10
one2one,0.7595611267856189,0.8262965083122253,0.9282648921012878,0.0,1.4776393175125122,1.9464021921157837,0.00892375223338604,0,28,28,8,0.023254016878282917,280,28,000000012670.jpg,7,7,0.7987832307815552,0.8309566378593445,0.9336892902851105,14,12,300,7,1,0.32841453433502465,20
one2one,0.8121771247763383,0.863219678401947,0.9326713800430297,0.0,1.275041103363037,2.183939218521118,0.006403384264558554,0,19,19,5,0.01794103354661745,286,19,000000013923.jpg,3,3,0.8076032485280719,0.8578917980194092,0.9336350500583649,11,8,300,5,3,0.428116975219122,14
