assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,4,28,0,overlap,4,4,4,28,4,4,0.8104951977729797,0.8581063747406006,0.9457050621509552,0.0,1.2197766304016113,0.9634426236152649,0.013196954503655434,0,000000375469.jpg,4,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8439442813396454,0.8439442813396454,0.8839793145656586,0.0,1.1506001949310303,0.3020109236240387,0.008981253020465374,0,000000425702.jpg,2,2
one2one,38,228,15,overlap,38,38,38,212,38,38,0.47157912799402285,0.4554019868373871,0.8214051902294159,0.0,2.910200357437134,2.3824658393859863,0.011813310906291008,0,000000416991.jpg,38,38
one2one,4,25,0,overlap,4,4,4,25,4,4,0.6789759211242199,0.8243660032749176,0.9544692397117615,0.0,1.0191266536712646,2.2085399627685547,0.0076921600848436356,0,000000429011.jpg,4,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9134016036987305,0.9134016036987305,0.9736635208129882,0.0,0.6050707101821899,0.55646812915802,0.0028462326154112816,0,000000581317.jpg,2,2
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8176409204800924,0.8304420709609985,0.9567154943943024,0.0,1.2395100593566895,1.4909576177597046,0.020707739517092705,0,000000047740.jpg,6,6
one2one,5,35,4,overlap,5,5,5,31,5,5,0.7528221011161804,0.7819458842277527,0.9569449067115784,0.0,1.414395809173584,1.980008840560913,0.021844636648893356,0,000000449190.jpg,5,5
one2one,2,14,0,overlap,2,2,2,14,2,2,0.814631849527359,0.814631849527359,0.8805202305316925,0.0,1.3367359638214111,2.886806011199951,0.016963060945272446,0,000000021465.jpg,2,2
one2one,9,63,0,overlap,9,9,9,63,9,9,0.8483933607737223,0.8831851482391357,0.9721391081809998,0.0,1.027466893196106,1.7686883211135864,0.014712751843035221,0,000000095707.jpg,9,9
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9558261036872864,0.9558261036872864,0.9558261036872864,0.0,0.3168024718761444,0.14695331454277039,0.008053874596953392,0,000000030675.jpg,1,1
one2one,12,65,1,overlap,12,12,12,64,12,12,0.6767076452573141,0.7624196410179138,0.8271176099777222,0.0,2.1150736808776855,1.077675700187683,0.008631362579762936,0,000000007281.jpg,12,12
one2one,13,77,2,overlap,12,12,12,75,12,12,0.7182946987450123,0.7866820394992828,0.9369154691696167,0.0,1.6423211097717285,1.9076273441314697,0.009497537277638912,0,000000093437.jpg,12,12
one2one,13,85,1,overlap,13,13,13,84,13,13,0.6087567118497995,0.6064224243164062,0.7535316348075867,0.0,2.798801898956299,2.8548150062561035,0.012612815946340561,0,000000133233.jpg,13,13
one2one,8,56,0,overlap,8,8,8,56,8,8,0.8084548451006413,0.8452713787555695,0.951501476764679,0.0,1.2323826551437378,1.5095294713974,0.014703284949064255,0,000000456143.jpg,8,8
one2one,16,85,5,overlap,16,16,16,79,16,16,0.757926557213068,0.8305126428604126,0.9094013273715973,0.0,1.4616552591323853,1.5592896938323975,0.003383682109415531,0,000000088462.jpg,16,16
one2one,35,222,8,overlap,35,35,35,214,35,35,0.6876590999109404,0.7122257947921753,0.8824095129966736,0.0,1.9948985576629639,1.3965764045715332,0.00584798026829958,0,000000309391.jpg,35,35
one2one,9,63,0,overlap,9,9,9,63,9,9,0.808423207865821,0.8515981435775757,0.9520050168037415,0.0,1.202276349067688,0.8917649388313293,0.017190318554639816,0,000000197388.jpg,9,9
one2one,9,63,0,overlap,9,9,9,63,9,9,0.8219086461597018,0.8302963376045227,0.935443925857544,0.0,1.248812198638916,2.27359938621521,0.006021316163241863,0,000000332901.jpg,9,9
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9459297060966492,0.9459297060966492,0.9574949622154236,0.0,0.4041503965854645,0.234847754240036,0.0024872038047760725,0,000000263403.jpg,2,2
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8008172512054443,0.8419011831283569,0.9520050585269928,0.0,1.2816267013549805,3.237233877182007,0.014449574053287506,0,000000034257.jpg,6,6
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8817815780639648,0.8817815780639648,0.9624146461486817,0.0,0.8078452944755554,0.5223932266235352,0.00616985559463501,0,000000574520.jpg,2,2
one2one,18,89,1,overlap,18,18,18,88,18,18,0.7203150192896525,0.7442935109138489,0.8532634317874909,0.0,1.9673947095870972,1.448941707611084,0.0027766942512243986,0,000000057760.jpg,18,18
