epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,198.971,1.28781,1.34112,0.00912,1.10651,0.63026,0.53727,0.5756,0.42696,1.27287,1.49675,0.01041,0,0.0001,0.0001,0.0001,0.0001,0.0002
2,393.859,1.28813,1.333,0.00924,0.99074,0.59475,0.54669,0.57528,0.42616,1.27355,1.49587,0.01043,0,8.4e-05,8.4e-05,8.4e-05,8.4e-05,0.000168
3,590.255,1.28773,1.3398,0.00925,0.99874,0.60401,0.53532,0.57434,0.42477,1.27423,1.49925,0.0104,0,6.8e-05,6.8e-05,6.8e-05,6.8e-05,0.000136
4,784.523,1.28389,1.33269,0.00931,0.99931,0.61173,0.53558,0.57488,0.42481,1.27676,1.49336,0.01039,0,5.2e-05,5.2e-05,5.2e-05,5.2e-05,0.000104
5,978.724,1.28515,1.33609,0.00914,0.9996,0.61063,0.53527,0.57479,0.42545,1.27984,1.4877,0.01046,0,3.6e-05,3.6e-05,3.6e-05,3.6e-05,7.2e-05
