seed,cell,sample,model_forward_ms,adapter_total_ms,base_ms,factor_ms,adapter_residual_combine_ms,moe_total_ms,router_ms,shared_expert_ms,selected_expert_compute_ms,expert_dispatch_aggregate_ms,non_adapter_model_ms
260829,a,0,5.72108793258667,4.514528006315231,0.33449600636959076,4.140032008290291,0.03999999165534973,0,0,0,0,0.0,1.2065599262714386
260829,a,1,5.679103851318359,4.481344133615494,0.3317120000720024,4.112224072217941,0.03740806132555008,0,0,0,0,0.0,1.1977597177028656
260829,a,2,5.708415985107422,4.506624132394791,0.3532799929380417,4.11715193092823,0.03619220852851868,0,0,0,0,0.0,1.2017918527126312
260829,a,3,5.668863773345947,4.478975921869278,0.328064002096653,4.112384036183357,0.03852788358926773,0,0,0,0,0.0,1.1898878514766693
260829,a,4,5.67193603515625,4.481951922178268,0.32972800731658936,4.114047959446907,0.038175955414772034,0,0,0,0,0.0,1.1899841129779816
260829,a,5,5.7139201164245605,4.508671909570694,0.3524160012602806,4.117504060268402,0.03875184804201126,0,0,0,0,0.0,1.2052482068538666
260829,a,6,5.7188801765441895,4.523487895727158,0.35020799934864044,4.119872078299522,0.05340781807899475,0,0,0,0,0.0,1.1953922808170319
260829,a,7,5.692255973815918,4.49331197142601,0.3328000009059906,4.126720085740089,0.033791884779930115,0,0,0,0,0.0,1.1989440023899078
260829,a,8,5.685503959655762,4.486463963985443,0.3296640068292618,4.120576113462448,0.036223843693733215,0,0,0,0,0.0,1.1990399956703186
260829,a,9,5.692768096923828,4.479999929666519,0.3301119953393936,4.113696038722992,0.036191895604133606,0,0,0,0,0.0,1.212768167257309
260829,a,10,5.71289587020874,4.520960062742233,0.3686400055885315,4.11443205177784,0.03788800537586212,0,0,0,0,0.0,1.191935807466507
260829,a,11,5.66374397277832,4.476928144693375,0.32790400087833405,4.111552014946938,0.03747212886810303,0,0,0,0,0.0,1.1868158280849457
260829,a,12,5.685152053833008,4.494304031133652,0.33161600679159164,4.123743876814842,0.038944147527217865,0,0,0,0,0.0,1.190848022699356
260829,a,13,5.701632022857666,4.504512041807175,0.3316799998283386,4.11945603787899,0.053376004099845886,0,0,0,0,0.0,1.1971199810504913
260829,a,14,5.726208209991455,4.491039901971817,0.3338879942893982,4.1175040900707245,0.039647817611694336,0,0,0,0,0.0,1.235168308019638
260829,a,15,5.67091178894043,4.482047945261002,0.3306560069322586,4.1134080439805984,0.03798389434814453,0,0,0,0,0.0,1.188863843679428
260829,a,16,5.70911979675293,4.50054395198822,0.33769600838422775,4.124672040343285,0.038175903260707855,0,0,0,0,0.0,1.2085758447647095
260829,a,17,5.67091178894043,4.478047877550125,0.3277120068669319,4.114335969090462,0.035999901592731476,0,0,0,0,0.0,1.1928639113903046
260829,a,18,5.688320159912109,4.499167948961258,0.32604800164699554,4.134911984205246,0.03820796310901642,0,0,0,0,0.0,1.1891522109508514
260829,a,19,5.690144062042236,4.482047945261002,0.3309120014309883,4.1134080439805984,0.037727899849414825,0,0,0,0,0.0,1.2080961167812347
