seed,device,cell,sample,image_index,total_ms,preprocess_ms,inference_ms,postprocess_ms,detections
260829,1,a,0,0,37.04125600052066,1.0368020011810586,34.52328899584245,1.0020379995694384,16
260829,1,a,1,1,42.1949779993156,7.07434699870646,28.63524400163442,6.007572999806143,1
260829,1,a,2,2,38.35951899236534,1.0891549900406972,35.74736000155099,1.0343729954911396,6
260829,1,a,3,3,43.780124993645586,7.467848001397215,28.8377200049581,6.983393992413767,2
260829,1,a,4,4,37.263755992171355,0.9871840011328459,34.75241000705864,1.0358919971622527,4
260829,1,a,5,5,43.16656899754889,7.038705996819772,28.596239993930794,7.025517013971694,2
260829,1,a,6,6,37.35164199315477,1.0571369930403307,34.79150400380604,1.0113210009876639,2
260829,1,a,7,7,43.6791300016921,7.170133001636714,28.968151993467472,7.046938000712544,3
260829,1,a,8,8,36.10317700076848,1.0794460104079917,33.5005109955091,1.0265339951729402,7
260829,1,a,9,9,39.947708006366156,9.119273992837407,29.307992997928523,1.0302669979864731,16
260829,1,a,10,10,43.52125299919862,7.1189590089488775,28.854151998530142,7.057602997520007,7
260829,1,a,11,11,38.187002995982766,1.061057992046699,35.57625900430139,1.0353029938414693,5
260829,1,a,12,12,43.7851030001184,7.343642006162554,28.89996899466496,7.0451979991048574,7
260829,1,a,13,13,37.33491600723937,1.0533619933994487,34.74873999948613,1.0365320049459115,2
260829,1,a,14,14,43.746802999521606,7.069394996506162,29.180605997680686,7.0130680105648935,1
260829,1,a,15,15,37.73366499808617,1.303119002841413,34.89874400838744,1.0409120004624128,5
260829,1,a,16,0,41.37089601135813,7.061803000397049,27.714034004020505,6.091675997595303,16
260829,1,a,17,1,40.1823590073036,1.1673850094666705,37.466023000888526,1.0326629999326542,1
260829,1,a,18,2,44.16493000462651,7.103438998456113,35.31808400293812,1.252107002073899,6
260829,1,a,19,3,45.99203501129523,7.2956270014401525,30.158100998960435,8.027894000406377,2
260829,1,a,20,4,37.61092100467067,1.0560189984971657,34.964972001034766,1.0865049989661202,4
260829,1,a,21,5,41.394674000912346,4.80116500693839,29.04976499848999,7.033843998215161,2
260829,1,a,22,6,37.279177995515056,1.0339900036342442,34.73710401158314,1.0160810052184388,2
260829,1,a,23,7,43.26856599072926,7.090722996508703,28.596344011020847,7.1202979888767,3
260829,1,a,24,8,36.96537199721206,0.9312680049333721,34.65083200717345,0.9503849869361147,7
260829,1,a,25,9,37.07423899322748,0.9484720067121089,34.706592006841674,0.9864140010904521,16
260829,1,a,26,10,43.08175899495836,7.0138490118552,28.62337300030049,6.9977130042389035,7
260829,1,a,27,11,37.24313100974541,0.9491099917795509,34.81109000858851,1.0277719993609935,5
260829,1,a,28,12,43.71615199488588,7.418156004860066,28.776316001312807,7.048572006169707,7
260829,1,a,29,13,37.06380899529904,0.9572010021656752,34.704063000390306,0.9531350078759715,2
260829,1,a,30,14,37.391944002592936,0.9073569963220507,35.01949799829163,1.0247610043734312,1
260829,1,a,31,15,38.673477989505045,1.315900997724384,35.908721009036526,0.9751229954417795,5
260829,1,a,32,0,37.121266999747604,0.9169690019916743,34.805307994247414,0.9766100120032206,16
260829,1,a,33,1,43.84624400699977,0.9892420057440177,35.069477002252825,1.3299470010679215,1
260829,1,a,34,2,44.83030299888924,8.132243005093187,29.13549600634724,7.0596979930996895,6
260829,1,a,35,3,37.71873899677303,1.3886959932278842,34.888242997112684,0.9757340012583882,2
260829,1,a,36,4,44.30901700106915,6.994464012677781,29.847950994735584,7.003102000453509,4
260829,1,a,37,5,36.91184500348754,0.9919729927787557,34.57535100460518,0.8962160063674673,2
260829,1,a,38,6,36.40145799727179,0.8874789928086102,34.24273998825811,0.8891160105122253,2
260829,1,a,39,7,37.37803400144912,6.882586007122882,29.276444998686202,0.8599680004408583,3
260829,1,a,40,8,36.58082599577028,6.859239001641981,28.38506099942606,0.9632610017433763,7
260829,1,a,41,9,43.083426004159264,0.9935199923347682,28.638200004934333,6.998953002039343,16
260829,1,a,42,10,36.50238300906494,0.8916349906940013,34.32887500093784,0.8987379987956956,7
260829,1,a,43,11,36.811719997785985,0.8791559957899153,34.56591899157502,0.9827620087889954,5
260829,1,a,44,12,43.25917399546597,7.209368995972909,28.638196003157645,6.9607229961548,7
260829,1,a,45,13,36.949953995645046,1.0066510003525764,34.5476849906845,0.9486199996899813,2
260829,1,a,46,14,35.82315699895844,0.911114999325946,33.55617400666233,0.9226110123563558,1
260829,1,a,47,15,44.2545839905506,8.12069400853943,28.729986006510444,6.982083999901079,5
260829,1,a,48,0,37.29536000173539,0.9725139971124008,34.7083910019137,1.158105005742982,16
260829,1,a,49,1,36.578737999661826,6.927665002876893,28.386161997332238,0.8661129977554083,1
260829,1,a,50,2,43.36373800470028,6.881292996695265,29.028998003923334,7.069972998579033,6
260829,1,a,51,3,37.697898005717434,1.4363319933181629,34.854390993132256,0.9173900034511462,2
260829,1,a,52,4,42.545755990431644,0.8875640050973743,28.391405998263508,6.873966995044611,4
260829,1,a,53,5,36.4901290013222,0.8729900000616908,28.381552008795552,6.87676300003659,2
260829,1,a,54,6,34.60559899394866,0.8481849945383146,32.44421900308225,0.9422609873581678,2
260829,1,a,55,7,23.523853000369854,0.9901379962684587,21.165619997191243,0.9368669998366386,3
260829,1,a,56,8,24.506592002580874,3.8333490083459765,19.348460002220236,0.9164139919448644,7
