assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2one,0.8287139903096592,0.8782892823219299,0.973744010925293,0.0,1.1146111488342285,1.0334855318069458,0.008180888369679451,0,17,17,2,0.014133314127837748,285,17,000000001000.jpg,9,9,0.8108550747235616,0.8782892823219299,0.9748615145683288,8,6,300,0,0,0.5984175301467379,15
one2one,0.9347414076328278,0.9347414076328278,0.9619988262653351,0.0,0.4811582863330841,1.2205002307891846,0.0031053246930241585,0,2,2,0,0.012507279035310412,43,2,000000002261.jpg,0,0,0.7733609676361084,0.7733609676361084,0.8752079010009766,2,2,45,0,0,0.3065484054386616,2
one2one,0.9045314656363593,0.9424519538879395,0.9629271507263184,0.0,0.6855078339576721,1.540259599685669,0.010874481871724129,0,9,9,1,0.018595734933204187,244,9,000000002431.jpg,4,4,0.9022548049688339,0.9441636800765991,0.9645518004894257,4,4,252,1,0,0.45805703836958855,8
one2one,0.6818671934306622,0.7388209104537964,0.8606232702732086,0.0,1.981124997138977,1.1311851739883423,0.006299164146184921,0,12,12,2,0.01858725073065031,187,12,000000007281.jpg,2,2,0.7484010517597198,0.7972194850444794,0.8656440496444702,2,2,197,8,6,0.43637166954576967,10
one2one,0.9423444867134094,0.9423444867134094,0.978699791431427,0.0,0.4168417453765869,0.18093059957027435,0.0038238982670009136,0,2,2,0,0.005653478492361804,30,2,000000008532.jpg,1,1,0.9423444867134094,0.9423444867134094,0.978699791431427,1,1,32,0,0,0.9076561033725739,2
one2one,0.8199671804904938,0.8629336059093475,0.9425855815410614,0.0,1.238343596458435,1.1997096538543701,0.006574803031980991,0,10,10,0,0.01697963441518041,178,10,000000009378.jpg,1,1,0.735112088918686,0.678758293390274,0.9425855815410614,5,5,188,4,4,0.486729734018445,10
one2one,0.9512621760368347,0.9512621760368347,0.9512621760368347,0.0,0.3479507565498352,0.289193332195282,0.0022305836901068687,0,1,1,0,0.006126282541789924,46,1,000000011122.jpg,0,0,0.9512616395950317,0.9512616395950317,0.9512616395950317,1,1,47,0,0,0.9486319422721863,1
one2one,0.7813409984111785,0.761448085308075,0.9204598605632782,0.0,1.5460599660873413,1.3933895826339722,0.011100724339485168,0,10,10,0,0.011605342025218348,222,10,000000011511.jpg,1,1,0.7709740042686463,0.7512218356132507,0.9204598784446716,7,7,232,2,2,0.4151197696221061,10
one2one,0.7658046766051224,0.8281967043876648,0.9317474067211151,0.0,1.447655200958252,1.9556289911270142,0.00876274611800909,0,28,28,8,0.023453529950763496,280,28,000000012670.jpg,7,7,0.8097368985414505,0.8350193798542023,0.9377220034599304,14,12,300,7,1,0.32884211025666443,20
one2one,0.8130558901711514,0.8627792596817017,0.934818685054779,0.0,1.2573204040527344,2.1497950553894043,0.006393942050635815,0,19,19,5,0.018732395358513912,286,19,000000013923.jpg,3,3,0.8046349627631051,0.8597711026668549,0.9375793814659119,11,8,300,5,3,0.4644241645000875,14
one2one,0.9163220326105753,0.8970748782157898,0.9631290793418884,0.0,0.6111083030700684,1.4958434104919434,0.004346646834164858,0,3,3,1,0.004074238875711506,66,3,000000015597.jpg,1,1,0.9383587539196014,0.9383587539196014,0.9713858544826508,2,1,68,0,0,0.9036776125431061,2
one2one,0.8404929161071777,0.8959710001945496,0.9156877279281617,0.0,1.1412602663040161,2.4876582622528076,0.0033811836037784815,0,5,5,0,0.013716240766284577,295,5,000000016010.jpg,0,0,0.8036326169967651,0.8959701657295227,0.9156876325607299,1,1,300,4,4,0.19170267460867763,5
one2one,0.735540360212326,0.7255447804927826,0.8879898309707641,0.0,1.820277452468872,2.2811412811279297,0.006791171617805958,0,8,8,1,0.009763183988112685,151,8,000000017182.jpg,0,0,0.7047669121197292,0.713463544845581,0.8814647912979127,7,6,158,1,1,0.1048133131781859,7
one2one,0.8668128450711569,0.9412691593170166,0.9535463809967041,0.0,0.8878415822982788,1.8758630752563477,0.008540295995771885,0,3,3,0,0.021848960272985062,54,3,000000017905.jpg,1,1,0.8668132225672404,0.9412691593170166,0.9535472869873047,2,2,57,0,0,0.32370177904764813,3
one2one,0.8670629858970642,0.8704702258110046,0.9389367818832397,0.0,0.9757936596870422,1.150037407875061,0.010774719528853893,0,7,7,0,0.010537870991378796,164,7,000000018150.jpg,3,3,0.8670629773821149,0.8704702258110046,0.9389367461204529,3,3,171,1,1,0.43372076749801636,7
one2one,0.7797527015209198,0.8352596163749695,0.9184781074523926,0.0,1.4949679374694824,1.1298950910568237,0.012165965512394905,0,8,8,0,0.011987270288299158,244,8,000000018837.jpg,3,3,0.7545979917049408,0.7816659212112427,0.9184781074523926,3,3,252,2,2,0.35784651595167816,8
one2one,0.9093511998653412,0.9093511998653412,0.925695151090622,0.0,0.6802775263786316,0.2382517009973526,0.006588074378669262,0,2,2,0,0.0662605296432351,3,2,000000020059.jpg,1,1,0.9093510806560516,0.9093510806560516,0.9256953179836274,1,1,5,0,0,0.8984697163105011,2
one2one,0.8293215036392212,0.8293215036392212,0.8872602224349976,0.0,1.2438421249389648,2.900512933731079,0.013656599447131157,0,2,2,0,0.022292746877103992,298,2,000000021465.jpg,0,0,0.8293217718601227,0.8293217718601227,0.8872607529163361,2,2,300,0,0,0.6271495819091797,2
one2one,0.8799015879631042,0.85402911901474,0.9652652382850647,0.0,0.8608942031860352,1.4270110130310059,0.005779558792710304,0,5,5,1,0.01075453909753049,188,5,000000022705.jpg,2,2,0.8724705576896667,0.8429579734802246,0.9386747479438782,2,1,192,1,1,0.7481043636798859,4
one2one,0.5773147270083427,0.5682870745658875,0.8334194302558899,0.0,2.3933632373809814,2.127471685409546,0.011414671316742897,0,4,4,2,0.0110993593314256,197,4,000000022755.jpg,1,1,0.8213759362697601,0.8213759362697601,0.8454610049724579,1,1,199,2,0,0.23315895348787308,2
one2one,0.9827850063641866,0.9831292033195496,0.9849229693412781,0.0,0.12919971346855164,0.09851287305355072,0.002949140500277281,0,3,3,0,0.006400595663026685,21,3,000000022935.jpg,3,3,0.9827846884727478,0.9831286072731018,0.9849225640296936,0,0,24,0,0,0.916896919409434,3
one2one,0.9007249474525452,0.9007249474525452,0.9007249474525452,0.0,0.6708531379699707,0.21288301050662994,0.006460188422352076,0,1,1,0,0.004475422397566338,9,1,000000023666.jpg,1,1,0.9007253050804138,0.9007253050804138,0.9007253050804138,0,0,10,0,0,0.8602113127708435,1
