assigner_branch,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,0.8287139903096592,0.8782892823219299,0.973744010925293,0.0,1.1146111488342285,1.0334855318069458,0.008180888369679451,0,000000001000.jpg,17,17
one2one,0.9347414076328278,0.9347414076328278,0.9619988262653351,0.0,0.4811582863330841,1.2205002307891846,0.0031053246930241585,0,000000002261.jpg,2,2
one2one,0.9045314656363593,0.9424519538879395,0.9629271507263184,0.0,0.6855078339576721,1.540259599685669,0.010874481871724129,0,000000002431.jpg,9,9
one2one,0.6818671934306622,0.7388209104537964,0.8606232702732086,0.0,1.981124997138977,1.1311851739883423,0.006299164146184921,0,000000007281.jpg,12,12
one2one,0.9423444867134094,0.9423444867134094,0.978699791431427,0.0,0.4168417453765869,0.18093059957027435,0.0038238982670009136,0,000000008532.jpg,2,2
one2one,0.8199671804904938,0.8629336059093475,0.9425855815410614,0.0,1.238343596458435,1.1997096538543701,0.006574803031980991,0,000000009378.jpg,10,10
one2one,0.9512621760368347,0.9512621760368347,0.9512621760368347,0.0,0.3479507565498352,0.289193332195282,0.0022305836901068687,0,000000011122.jpg,1,1
one2one,0.7813409984111785,0.761448085308075,0.9204598605632782,0.0,1.5460599660873413,1.3933895826339722,0.011100724339485168,0,000000011511.jpg,10,10
one2one,0.7658046766051224,0.8281967043876648,0.9317474067211151,0.0,1.447655200958252,1.9556289911270142,0.00876274611800909,0,000000012670.jpg,28,28
one2one,0.8130558901711514,0.8627792596817017,0.934818685054779,0.0,1.2573204040527344,2.1497950553894043,0.006393942050635815,0,000000013923.jpg,19,19
one2one,0.9163220326105753,0.8970748782157898,0.9631290793418884,0.0,0.6111083030700684,1.4958434104919434,0.004346646834164858,0,000000015597.jpg,3,3
one2one,0.8404929161071777,0.8959710001945496,0.9156877279281617,0.0,1.1412602663040161,2.4876582622528076,0.0033811836037784815,0,000000016010.jpg,5,5
one2one,0.735540360212326,0.7255447804927826,0.8879898309707641,0.0,1.820277452468872,2.2811412811279297,0.006791171617805958,0,000000017182.jpg,8,8
one2one,0.8668128450711569,0.9412691593170166,0.9535463809967041,0.0,0.8878415822982788,1.8758630752563477,0.008540295995771885,0,000000017905.jpg,3,3
one2one,0.8670629858970642,0.8704702258110046,0.9389367818832397,0.0,0.9757936596870422,1.150037407875061,0.010774719528853893,0,000000018150.jpg,7,7
one2one,0.7797527015209198,0.8352596163749695,0.9184781074523926,0.0,1.4949679374694824,1.1298950910568237,0.012165965512394905,0,000000018837.jpg,8,8
one2one,0.9093511998653412,0.9093511998653412,0.925695151090622,0.0,0.6802775263786316,0.2382517009973526,0.006588074378669262,0,000000020059.jpg,2,2
one2one,0.8293215036392212,0.8293215036392212,0.8872602224349976,0.0,1.2438421249389648,2.900512933731079,0.013656599447131157,0,000000021465.jpg,2,2
one2one,0.8799015879631042,0.85402911901474,0.9652652382850647,0.0,0.8608942031860352,1.4270110130310059,0.005779558792710304,0,000000022705.jpg,5,5
