assign_assigner_branch,assign_assignment_matched_iou_mean,assign_assignment_matched_iou_p50,assign_assignment_matched_iou_p90,assign_assignment_overlap_rate,assign_box_loss,assign_cls_loss,assign_dfl_loss,assign_duplicate_positive_count,assign_positive_count,assign_unique_matched_gt_count,fn_iou50,fp_conf_mean,fp_iou50,gt_count,image,large_gt,large_tp,matched_iou_mean,matched_iou_p50,matched_iou_p90,medium_gt,medium_tp,prediction_count,small_gt,small_tp,tp_conf_mean,tp_iou50
one2many,0.791680388286442,0.8446310758590698,0.9700739741325378,0.8982035928143712,1.0471687316894531,0.8468092679977417,0.00868944451212883,150,167,17,1,0.019045631704576522,284,17,000000001000.jpg,9,9,0.8340902850031853,0.8516955077648163,0.9709521532058716,8,7,300,0,0,0.5542326642171247,16
one2many,0.8928665965795517,0.9166307747364044,0.9660288989543915,0.9,0.5444974303245544,1.2389333248138428,0.003967824392020702,18,20,2,0,0.017092968572978862,40,2,000000002261.jpg,0,0,0.9299233555793762,0.9299233555793762,0.9559020161628723,2,2,42,0,0,0.28706251457333565,2
one2many,0.8877642218555722,0.9388266801834106,0.9743444144725799,0.8928571428571429,0.6135228872299194,1.1664332151412964,0.011013699695467949,75,84,9,0,0.01915809357970048,284,9,000000002431.jpg,4,4,0.8635276423560249,0.9383800625801086,0.9656150460243225,4,4,293,1,1,0.4702520214357517,9
one2many,0.7019782850542401,0.7798134684562683,0.8791818141937257,0.8481012658227848,1.6204113960266113,1.217331886291504,0.007820837199687958,67,79,12,4,0.02497914849863426,146,12,000000007281.jpg,2,2,0.7666459530591965,0.7749784886837006,0.8701036512851715,2,2,154,8,4,0.4636166491545737,8
one2many,0.9361199140548706,0.9363625645637512,0.9840131580829621,0.9,0.4223312735557556,0.25231632590293884,0.005079988390207291,18,20,2,0,0.006412327868130171,33,2,000000008532.jpg,1,1,0.9429413676261902,0.9429413676261902,0.9780939936637878,1,1,35,0,0,0.8676609098911285,2
one2many,0.7587404471635818,0.7438120245933533,0.94882892370224,0.9,1.392983078956604,0.8822066187858582,0.008175780065357685,90,100,10,0,0.026887227673588306,131,10,000000009378.jpg,1,1,0.7310052156448364,0.7023226022720337,0.9152706325054168,5,5,141,4,4,0.5020963337272406,10
one2many,0.9555635154247284,0.9546031057834625,0.9591500878334045,0.9,0.33303460478782654,0.21086513996124268,0.00213439017534256,9,10,1,0,0.007659854678957558,34,1,000000011122.jpg,0,0,0.9545762538909912,0.9545762538909912,0.9545762538909912,1,1,35,0,0,0.9340296387672424,1
one2many,0.7551128792886933,0.7728415727615356,0.9249182045459747,0.8958333333333334,1.585309386253357,1.2072367668151855,0.01180078275501728,86,96,10,0,0.013399802682840306,230,10,000000011511.jpg,1,1,0.7562169253826141,0.7419954836368561,0.9107108235359191,7,7,240,2,2,0.40387633731588723,10
one2many,0.7132401128547189,0.7921921014785767,0.9309971451759338,0.8951310861423221,1.2533793449401855,1.4020546674728394,0.009582022204995155,239,267,28,7,0.029466803126390956,279,28,000000012670.jpg,7,7,0.8083153537341526,0.8369787931442261,0.9380826354026794,14,13,300,7,1,0.3203943460026667,21
one2many,0.7704339313289422,0.8491848707199097,0.9295201122760772,0.898876404494382,1.1155765056610107,1.990248680114746,0.007439718581736088,160,178,18,4,0.02289900668373887,285,19,000000013923.jpg,3,3,0.7767690499623616,0.8478216528892517,0.9371217966079712,11,8,300,5,4,0.4468689558406671,15
one2many,0.9153706828753153,0.8967177867889404,0.9767219662666321,0.9,0.5585926175117493,1.0017956495285034,0.00439400365576148,27,30,3,0,0.004828189898012991,83,3,000000015597.jpg,1,1,0.9021252791086832,0.8954013586044312,0.9607551336288452,2,2,86,0,0,0.5691951089538634,3
one2many,0.7997475045919419,0.8366335928440094,0.9165858685970306,0.9,1.128947138786316,1.9649800062179565,0.0037266183644533157,45,50,5,0,0.01746455906195787,295,5,000000016010.jpg,0,0,0.7271525740623475,0.7955372929573059,0.8711611509323121,1,1,300,4,4,0.24101863093674183,5
one2many,0.7204317601977802,0.7699041366577148,0.9118998050689697,0.8688524590163934,1.5800869464874268,2.3461177349090576,0.006647502072155476,53,61,8,2,0.012091828690140626,174,8,000000017182.jpg,0,0,0.7278592189153036,0.7285286784172058,0.8806987404823303,7,5,180,1,1,0.1120825851879393,6
one2many,0.8704734881718953,0.9357390105724335,0.9531461834907532,0.9,0.7396411895751953,1.6222959756851196,0.006998846307396889,27,30,3,0,0.019671655916817375,67,3,000000017905.jpg,1,1,0.8739243149757385,0.9479304552078247,0.9541860342025756,2,2,70,0,0,0.36502010623613995,3
one2many,0.868056241103581,0.8721977174282074,0.9339622616767883,0.9,0.9493159055709839,0.9722045660018921,0.01152192521840334,63,70,7,0,0.00930450597140742,190,7,000000018150.jpg,3,3,0.8644036139760699,0.866300642490387,0.9147555828094482,3,3,197,1,1,0.5264229191733258,7
one2many,0.7497702761541439,0.7581509351730347,0.9164562106132508,0.8987341772151899,1.6139516830444336,0.9965856671333313,0.014742979779839516,71,79,8,0,0.010795014858969857,292,8,000000018837.jpg,3,3,0.7446529194712639,0.776438444852829,0.8439093291759491,3,3,300,2,2,0.37557833548635244,8
one2many,0.9100019484758377,0.914222776889801,0.933113944530487,0.9,0.6739020347595215,0.23347139358520508,0.006529849022626877,18,20,2,0,0.001467203760209183,3,2,000000020059.jpg,1,1,0.9105481505393982,0.9105481505393982,0.928273618221283,1,1,5,0,0,0.9304128587245941,2
one2many,0.8145056456327439,0.7853749394416809,0.9013996958732605,0.9,1.3827993869781494,2.4557042121887207,0.014359921216964722,18,20,2,0,0.029313096086707142,298,2,000000021465.jpg,0,0,0.7873197495937347,0.7873197495937347,0.7997836291790008,2,2,300,0,0,0.5903072953224182,2
one2many,0.8594469845294952,0.8606431186199188,0.9750868499279022,0.9,0.7780356407165527,0.9478566646575928,0.007136443629860878,45,50,5,0,0.011131086827198178,194,5,000000022705.jpg,2,2,0.8060187578201294,0.8178261518478394,0.9191537022590637,2,2,199,1,1,0.5976696202531457,5
one2many,0.6742111556231976,0.8025755286216736,0.9213115870952606,0.8571428571428571,1.2685253620147705,1.5804288387298584,0.008894918486475945,24,28,4,2,0.01408424007439118,176,4,000000022755.jpg,1,1,0.8205530643463135,0.8205530643463135,0.8303353309631347,1,1,178,2,0,0.4314538985490799,2
one2many,0.9818081676959991,0.9836795926094055,0.987760317325592,0.9,0.13402922451496124,0.16424055397510529,0.003041120246052742,27,30,3,0,0.013101240057342997,24,3,000000022935.jpg,3,3,0.9863025546073914,0.9863192439079285,0.9875987887382507,0,0,27,0,0,0.8957143624623617,3
one2many,0.9010622024536132,0.901390939950943,0.9057462990283967,0.9,0.7435287833213806,0.3802255392074585,0.007116994354873896,9,10,1,0,0.006456364615587518,12,1,000000023666.jpg,1,1,0.9032214283943176,0.9032214283943176,0.9032214283943176,0,0,13,0,0,0.8497995734214783,1
