assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,17,119,1,overlap,17,17,17,118,17,17,0.8253877916756798,0.8724691271781921,0.9752402544021607,0.0,1.1410932540893555,1.0960255861282349,0.008395232260227203,0,000000001000.jpg,17,17
one2one,2,14,0,overlap,2,2,2,14,2,2,0.935143917798996,0.935143917798996,0.9617047250270844,0.0,0.4785851538181305,1.4295990467071533,0.0031073414720594883,0,000000002261.jpg,2,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.8973095880614387,0.9379058480262756,0.9644623160362243,0.0,0.7202557325363159,1.410539984703064,0.01141425408422947,0,000000002431.jpg,9,9
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6786909674604734,0.7330380976200104,0.8554068446159363,0.0,2.0107266902923584,1.1166664361953735,0.006445634178817272,0,000000007281.jpg,12,12
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9425989389419556,0.9425989389419556,0.981073546409607,0.0,0.4130640923976898,0.1721453070640564,0.0035054676700383425,0,000000008532.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8182461738586426,0.8629202544689178,0.9434236586093903,0.0,1.2415850162506104,1.2544752359390259,0.006368918344378471,0,000000009378.jpg,10,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9516916275024414,0.9516916275024414,0.9516916275024414,0.0,0.34510767459869385,0.31414470076560974,0.002211650600656867,0,000000011122.jpg,1,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.776665860414505,0.745376467704773,0.9160045802593231,0.0,1.5671088695526123,1.3133779764175415,0.010987806133925915,0,000000011511.jpg,10,10
one2one,28,191,1,overlap,28,28,28,190,28,28,0.765962767813887,0.8298628330230713,0.9223740994930267,0.0,1.4502745866775513,1.9793727397918701,0.008822489529848099,0,000000012670.jpg,28,28
one2one,19,130,3,overlap,19,19,19,127,19,19,0.8167479979364496,0.8624332547187805,0.9121320724487304,0.0,1.26985764503479,2.1814939975738525,0.0064049381762743,0,000000013923.jpg,19,19
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9205209414164225,0.9070669412612915,0.9639140844345093,0.0,0.5821685194969177,1.4351484775543213,0.004217115230858326,0,000000015597.jpg,3,3
one2one,5,35,0,overlap,5,5,5,35,5,5,0.7948814570903778,0.8838182091712952,0.9165135383605957,0.0,1.3112787008285522,2.1442935466766357,0.004442938603460789,0,000000016010.jpg,5,5
one2one,8,56,12,overlap,8,8,8,43,8,8,0.7539284378290176,0.7385374903678894,0.8865489542484283,0.0,1.723318338394165,2.3628053665161133,0.0063782865181565285,0,000000017182.jpg,8,8
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9162668983141581,0.9451876878738403,0.9553381204605103,0.0,0.6096025109291077,1.9391859769821167,0.00433343555778265,0,000000017905.jpg,3,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8668386510440281,0.873367965221405,0.94798903465271,0.0,0.9686444997787476,1.0900858640670776,0.01091647520661354,0,000000018150.jpg,7,7
one2one,8,56,0,overlap,8,8,8,56,8,8,0.7718825936317444,0.8161229193210602,0.9172068774700165,0.0,1.5575042963027954,1.0569407939910889,0.01249736174941063,0,000000018837.jpg,8,8
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9126264154911041,0.9126264154911041,0.933197146654129,0.0,0.6537548899650574,0.27294212579727173,0.006291158497333527,0,000000020059.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8245497941970825,0.8245497941970825,0.8859555006027222,0.0,1.271917700767517,2.891941785812378,0.013930939137935638,0,000000021465.jpg,2,2
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8947124242782593,0.8600646257400513,0.9649400115013123,0.0,0.7659195065498352,1.4279190301895142,0.0055053639225661755,0,000000022705.jpg,5,5
one2one,4,22,1,overlap,4,4,4,21,4,4,0.5737926736474037,0.5661661177873611,0.845126461982727,0.0,2.3074703216552734,2.131023645401001,0.011111361905932426,0,000000022755.jpg,4,4
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9812832276026408,0.9819009900093079,0.9829954743385315,0.0,0.14045624434947968,0.11373977363109589,0.0032361242920160294,0,000000022935.jpg,3,3
one2one,1,7,0,overlap,1,1,1,7,1,1,0.8930023908615112,0.8930023908615112,0.8930023908615112,0.0,0.7168042659759521,0.22033262252807617,0.006993123795837164,0,000000023666.jpg,1,1
one2one,18,99,11,overlap,18,18,18,88,18,18,0.6900117049614588,0.7850450873374939,0.9486966550350189,0.0,1.6283540725708008,1.2185118198394775,0.006093713454902172,0,000000024243.jpg,18,18
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8045668303966522,0.8045668303966522,0.857986968755722,0.0,1.460188388824463,1.3157631158828735,0.05103641748428345,0,000000025139.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9206217726071676,0.8939014673233032,0.9586002111434937,0.0,0.5866945385932922,0.49694836139678955,0.004462915472686291,0,000000025424.jpg,3,3
one2one,13,86,0,overlap,13,13,13,86,13,13,0.8103466813380902,0.8444084525108337,0.9519731402397156,0.0,1.2605364322662354,1.3146671056747437,0.004859046079218388,0,000000026204.jpg,13,13
one2one,2,14,0,overlap,2,2,2,14,2,2,0.948362797498703,0.948362797498703,0.964197438955307,0.0,0.384817898273468,0.27880170941352844,0.004550294950604439,0,000000027982.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.7908939123153687,0.7908939123153687,0.8886348485946656,0.0,1.4315727949142456,0.5847503542900085,0.008755842223763466,0,000000030494.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9597641229629517,0.9597641229629517,0.9597641229629517,0.0,0.28977471590042114,0.1301889419555664,0.005867441184818745,0,000000030675.jpg,1,1
one2one,5,35,2,overlap,5,5,5,33,5,5,0.8616778016090393,0.880241870880127,0.9645687103271484,0.0,0.9670127630233765,2.376439332962036,0.009527018293738365,0,000000031735.jpg,5,5
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8685717284679413,0.8685717284679413,0.9413834035396575,0.0,0.9219157695770264,0.5520498752593994,0.0040838406421244144,0,000000033005.jpg,2,2
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9138236045837402,0.9138236045837402,0.9267022132873535,0.0,0.6473714113235474,1.171048879623413,0.011445439420640469,0,000000034071.jpg,2,2
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7190331667661667,0.7415394186973572,0.9196605265140534,0.0,1.7185673713684082,0.696548581123352,0.017967071384191513,0,000000034139.jpg,4,4
one2one,6,42,0,overlap,6,6,6,42,6,6,0.7981135149796804,0.8523072600364685,0.9429832994937897,0.0,1.292946696281433,3.063201904296875,0.011394874192774296,0,000000034257.jpg,6,6
one2one,22,143,5,overlap,22,22,22,138,22,22,0.6988827735185623,0.712219625711441,0.9161684691905976,0.0,1.9583852291107178,2.0793168544769287,0.01077746506780386,0,000000036936.jpg,22,22
one2one,15,103,11,overlap,15,15,15,83,15,15,0.7318223198254903,0.6997767090797424,0.9105139255523682,0.0,1.8972513675689697,2.133817434310913,0.009299256838858128,0,000000039477.jpg,15,15
one2one,6,42,4,overlap,6,6,6,38,6,6,0.9478817880153656,0.9605200886726379,0.9777393937110901,0.0,0.378214955329895,1.090346097946167,0.006173033267259598,0,000000039769.jpg,6,6
one2one,11,51,0,overlap,11,11,11,51,11,11,0.7925287160006437,0.7836552262306213,0.9558370113372803,0.0,1.465562343597412,0.8253983855247498,0.003892183303833008,0,000000039914.jpg,11,11
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8238646189371744,0.9270108342170715,0.953439199924469,0.0,1.0786464214324951,1.7766615152359009,0.0089255440980196,0,000000040036.jpg,3,3
one2one,20,100,8,overlap,19,19,19,92,19,19,0.6956294492671364,0.7208542227745056,0.8598233342170716,0.0,2.102088451385498,2.265462875366211,0.005740134511142969,0,000000040471.jpg,19,19
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9446168541908264,0.9446168541908264,0.9446168541908264,0.0,0.39251279830932617,0.12310890853404999,0.008875059895217419,0,000000046804.jpg,1,1
one2one,6,42,0,overlap,6,6,6,42,6,6,0.8619742194811503,0.8993885219097137,0.9763529896736145,0.0,0.9124287962913513,1.6876503229141235,0.008502637967467308,0,000000047740.jpg,6,6
one2one,7,34,0,overlap,7,7,7,34,7,7,0.6607432493141719,0.6924260258674622,0.9344930529594422,0.0,1.7870928049087524,2.0526530742645264,0.0063352505676448345,0,000000047801.jpg,7,7
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9509932994842529,0.9509932994842529,0.9509932994842529,0.0,0.35061222314834595,0.35140055418014526,0.0027824307326227427,0,000000049259.jpg,1,1
one2one,2,14,0,overlap,2,2,2,14,2,2,0.8926365077495575,0.8926365077495575,0.952507346868515,0.0,0.7719663977622986,0.22919772565364838,0.019986053928732872,0,000000049269.jpg,2,2
one2one,3,21,0,overlap,3,3,3,21,3,3,0.938122550646464,0.9611144065856934,0.9763047695159912,0.0,0.44817641377449036,1.7481095790863037,0.007440273184329271,0,000000050326.jpg,3,3
one2one,4,28,0,overlap,4,4,4,28,4,4,0.8474773019552231,0.8831027746200562,0.9280439972877502,0.0,1.0691986083984375,2.4393351078033447,0.017711125314235687,0,000000050331.jpg,4,4
one2one,16,67,0,overlap,16,16,16,67,16,16,0.6800118684768677,0.7146798372268677,0.8751194477081299,0.0,2.0455222129821777,3.1657330989837646,0.0030303457751870155,0,000000052412.jpg,16,16
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8352598547935486,0.8128190040588379,0.9080684185028076,0.0,1.2018249034881592,1.7391078472137451,0.021712346002459526,0,000000053529.jpg,3,3
one2one,4,28,1,overlap,4,4,4,27,4,4,0.7351918518543243,0.7924961745738983,0.8351381957530976,0.0,1.8424162864685059,1.8744560480117798,0.015453724190592766,0,000000053994.jpg,4,4
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9523061215877533,0.9523061215877533,0.9540182292461395,0.0,0.3585684597492218,0.1628415286540985,0.005623727571219206,0,000000054931.jpg,2,2
one2one,1,7,0,overlap,1,1,1,7,1,1,0.9884542226791382,0.9884542226791382,0.9884542226791382,0.0,0.08561669290065765,0.5599953532218933,0.0026261727325618267,0,000000056545.jpg,1,1
one2one,18,88,1,overlap,18,18,18,87,18,18,0.7196272131469514,0.7470187544822693,0.8597102880477906,0.0,1.95895516872406,1.3872140645980835,0.002257317304611206,0,000000057760.jpg,18,18
one2one,19,129,0,overlap,19,19,19,129,19,19,0.7971267543340984,0.7953408360481262,0.93787442445755,0.0,1.397558569908142,1.747357964515686,0.009169187396764755,0,000000059044.jpg,19,19
one2one,13,58,3,overlap,13,13,13,55,13,13,0.4879301843734888,0.5153776407241821,0.6742233872413635,0.0,3.2441766262054443,2.0165810585021973,0.0035545574501156807,0,000000060363.jpg,13,13
one2one,14,92,2,overlap,14,14,14,90,14,14,0.8521140175206321,0.8534954190254211,0.9399256527423858,0.0,1.0587997436523438,0.7538581490516663,0.004642118699848652,0,000000060886.jpg,14,14
one2one,17,107,0,overlap,17,17,17,107,17,17,0.7379957573378787,0.7395361065864563,0.933070182800293,0.0,1.4696825742721558,1.4157516956329346,0.007752795238047838,0,000000060932.jpg,17,17
one2one,9,58,0,overlap,9,9,9,58,9,9,0.7570847140418159,0.7675032019615173,0.9133849143981934,0.0,1.6758633852005005,2.5893428325653076,0.016352836042642593,0,000000061108.jpg,9,9
