assigner_branch,assigner_candidate_gt_count,assigner_candidate_positive_count,assigner_conflict_anchor_count,assigner_conflict_metric,assigner_final_gt_count,assigner_final_positive_count,assigner_post_conflict_gt_count,assigner_post_conflict_positive_count,assigner_post_secondary_topk_gt_count,assigner_post_secondary_topk_positive_count,assignment_matched_iou_mean,assignment_matched_iou_p50,assignment_matched_iou_p90,assignment_overlap_rate,box_loss,cls_loss,dfl_loss,duplicate_positive_count,image,positive_count,unique_matched_gt_count
one2one,17,119,1,overlap,17,17,17,118,17,17,0.8217697231208577,0.8629835844039917,0.9764416575431824,0.0,1.1668787002563477,1.0730558633804321,0.008548303507268429,0,000000001000.jpg,17,17
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9389704167842865,0.9389704167842865,0.9652106463909149,0.0,0.4500313103199005,1.2426687479019165,0.0028995261527597904,0,000000002261.jpg,2,2
one2one,9,60,0,overlap,9,9,9,60,9,9,0.9055494401190016,0.9348734617233276,0.9663076639175415,0.0,0.6811517477035522,1.5130836963653564,0.010803592391312122,0,000000002431.jpg,9,9
one2one,12,63,1,overlap,12,12,12,62,12,12,0.6739277876913548,0.7300061285495758,0.8666992545127868,0.0,2.0343074798583984,1.1253074407577515,0.0066149188205599785,0,000000007281.jpg,12,12
one2one,2,14,0,overlap,2,2,2,14,2,2,0.9407275915145874,0.9407275915145874,0.9772836923599243,0.0,0.4289783239364624,0.18371814489364624,0.00414655078202486,0,000000008532.jpg,2,2
one2one,10,70,0,overlap,10,10,10,70,10,10,0.8198864579200744,0.8756774663925171,0.9430359721183776,0.0,1.2326616048812866,1.2493226528167725,0.006519201211631298,0,000000009378.jpg,10,10
one2one,1,7,0,overlap,1,1,1,7,1,1,0.946504533290863,0.946504533290863,0.946504533290863,0.0,0.38006889820098877,0.2849227488040924,0.0024375244975090027,0,000000011122.jpg,1,1
one2one,10,69,1,overlap,10,10,10,68,10,10,0.7770005702972412,0.7517900764942169,0.9176859140396119,0.0,1.568276286125183,1.3084959983825684,0.011221426539123058,0,000000011511.jpg,10,10
one2one,28,192,0,overlap,28,28,28,192,28,28,0.7673900106123516,0.822933167219162,0.925739973783493,0.0,1.4429682493209839,2.0487289428710938,0.008966879919171333,0,000000012670.jpg,28,28
one2one,19,130,3,overlap,19,19,19,127,19,19,0.81935054063797,0.8707941174507141,0.9315350413322449,0.0,1.2339478731155396,2.1760895252227783,0.006218031980097294,0,000000013923.jpg,19,19
one2one,3,21,0,overlap,3,3,3,21,3,3,0.9168800512949625,0.9022979140281677,0.9625173449516297,0.0,0.6079179048538208,1.5614299774169922,0.0043712155893445015,0,000000015597.jpg,3,3
one2one,5,35,0,overlap,5,5,5,35,5,5,0.839102041721344,0.8831161260604858,0.9166506171226502,0.0,1.1544162034988403,2.4723639488220215,0.003365524811670184,0,000000016010.jpg,5,5
one2one,8,56,11,overlap,8,8,8,44,8,8,0.7344962432980537,0.736596554517746,0.8821270108222962,0.0,1.8224213123321533,2.1833155155181885,0.006625462789088488,0,000000017182.jpg,8,8
one2one,3,21,0,overlap,3,3,3,21,3,3,0.8681532740592957,0.9424278140068054,0.953059709072113,0.0,0.881647527217865,1.7010923624038696,0.008465515449643135,0,000000017905.jpg,3,3
one2one,7,49,0,overlap,7,7,7,49,7,7,0.8702839527811322,0.8690418004989624,0.9616504907608032,0.0,0.9388782978057861,1.0732358694076538,0.010187361389398575,0,000000018150.jpg,7,7
