epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,164.3,3.32282,7.15592,0.03789,0.03989,0.00296,0.0003,0.00012,3.50003,19.7575,0.05389,0.0009992,0.0009992,0.0009992,0.0004996,0.0019984
2,326.402,3.13722,6.81105,0.03451,0.00049,0.0073,0.00011,3e-05,3.19315,7.21368,0.04765,0.000802,0.000802,0.000802,0.000401,0.001604
3,488.187,2.90105,6.44044,0.03081,0.00072,0.01305,0.00025,7e-05,3.06387,6.68427,0.04405,0.000604,0.000604,0.000604,0.000302,0.001208
4,650.284,2.78872,6.0698,0.02878,0.00101,0.01706,0.00076,0.00035,2.883,6.34581,0.0402,0.000406,0.000406,0.000406,0.000203,0.000812
5,808.014,2.84284,5.83149,0.03471,0.00145,0.02857,0.00063,0.00023,2.837,5.98945,0.03949,0.000208,0.000208,0.000208,0.000104,0.000416
