epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,213.596,3.3106,7.03033,0.03817,1.13356,0.00013,0.00393,1e-05,0,3.63937,11.7929,0.05533,0,0.0009992,0.0009992,0.0009992,0.0004996,0.0019984
2,424.383,3.04829,6.49972,0.03332,1.00096,0.00016,0.00277,2e-05,0,3.37708,7.52731,0.05028,0,0.000802,0.000802,0.000802,0.000401,0.001604
3,633.221,2.83344,6.16195,0.02987,1.00224,0.37798,0.00174,0.00042,8e-05,3.04637,6.74111,0.04427,0,0.000604,0.000604,0.000604,0.000302,0.001208
4,839.927,2.69989,5.8596,0.02772,1.00234,0.00131,0.02484,0.00042,0.00012,2.8342,6.13218,0.0399,0,0.000406,0.000406,0.000406,0.000203,0.000812
5,1039.54,2.76994,5.68959,0.03369,0.99981,0.00146,0.0375,0.00099,0.0003,2.79985,5.84545,0.03902,0,0.000208,0.000208,0.000208,0.000104,0.000416
