epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,154.849,3.50996,6.58539,0.04771,0.00043,0.0143,8e-05,2e-05,3.5978,10.2519,0.0627,0.0009992,0.0009992,0.0009992,0.0004996,0.0019984
2,308.204,3.12409,6.11181,0.04006,0.00091,0.01987,0.00018,5e-05,3.17949,7.16716,0.05615,0.000802,0.000802,0.000802,0.000401,0.001604
3,461.445,2.95048,5.80492,0.03693,0.00092,0.0219,0.00036,0.00011,3.07293,5.97854,0.05154,0.000604,0.000604,0.000604,0.000302,0.001208
4,614.717,2.79542,5.51269,0.03392,0.00156,0.03388,0.001,0.00023,2.9037,5.95166,0.04846,0.000406,0.000406,0.000406,0.000203,0.000812
5,765.378,2.88479,5.28205,0.04058,0.09066,0.00492,0.00105,0.00039,2.89435,5.46623,0.04717,0.000208,0.000208,0.000208,0.000104,0.000416
