epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,165.864,1.044,5.20936,0.98201,0.00912,6.28904,0.68343,0.52396,0.58938,0.43399,0.05454,0.03787,0.01427,0.00235,1.07548,5.20146,1.10388,0.01119,0,0.0001,0.0001,0.0001,0.0001,0.0002
2,329.365,1.04018,5.20688,0.97996,0.00924,5.49824,0.66185,0.52891,0.58867,0.43466,0.16523,0.17773,0.10894,0.02955,1.07458,5.20047,1.10547,0.01115,0,8.4e-05,8.4e-05,8.4e-05,8.4e-05,0.000168
3,493.411,1.04387,5.2042,0.98304,0.00925,3.7717,0.6827,0.52563,0.59031,0.43552,0.21252,0.20915,0.13255,0.04386,1.07015,5.20009,1.10301,0.01112,0,6.8e-05,6.8e-05,6.8e-05,6.8e-05,0.000136
4,657.489,1.0439,5.20808,0.97937,0.00932,0.87011,0.6763,0.52779,0.58929,0.43539,0.22635,0.22057,0.14357,0.05042,1.06975,5.19929,1.10324,0.01113,0,5.2e-05,5.2e-05,5.2e-05,5.2e-05,0.000104
5,821.323,1.04226,5.20485,0.98304,0.00916,0.33355,0.67366,0.53203,0.58929,0.43541,0.23823,0.2354,0.15684,0.05286,1.06934,5.19865,1.1016,0.01109,0,3.6e-05,3.6e-05,3.6e-05,3.6e-05,7.2e-05
